,order_id,quantity,item_name,choice_description,item_price,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,total_cost
0,1,1,chips and fresh tomato salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
1,1,1,izze,Clementine,3.39,Clementine,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
2,1,1,nantucket nectar,Apple,3.39,Apple,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
3,1,1,chips and tomatillo-green chili salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
4,2,2,chicken bowl,Tomatillo-Red Chili Salsa  Hot   Black Beans  Rice  Cheese  Sour Cream,16.98,Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,33.96
5,3,1,chicken bowl,Fresh Tomato Salsa  Mild   Rice  Cheese  Sour Cream  Guacamole  Lettuce,10.98,Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,10.98
6,3,1,side of chips,none,1.69,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.69
7,4,1,steak burrito,Tomatillo Red Chili Salsa  Fajita Vegetables  Black Beans  Pinto Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.75,Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,11.75
8,4,1,steak soft tacos,Tomatillo Green Chili Salsa  Pinto Beans  Cheese  Sour Cream  Lettuce,9.25,Tomatillo Green Chili Salsa, Pinto Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
9,5,1,steak burrito,Fresh Tomato Salsa  Rice  Black Beans  Pinto Beans  Cheese  Sour Cream  Lettuce,9.25,Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,9.25
10,5,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
